identifier,tag_name,service,type,region,tags,arn
us-east-2_2YpxCwFoK,(not tagged),Cognito,UserPool,us-east-2,0,arn:aws:cognito-idp:us-east-2:679835924621:userpool/us-east-2_2YpxCwFoK
us-east-1_YToAgfnlY,(not tagged),Cognito,UserPool,us-east-1,0,arn:aws:cognito-idp:us-east-1:679835924621:userpool/us-east-1_YToAgfnlY
dopt-017a814383e851a74,(not tagged),EC2,DHCPOptions,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:dhcp-options/dopt-017a814383e851a74
inv,(not tagged),DynamoDB,Table,us-east-2,0,arn:aws:dynamodb:us-east-2:679835924621:table/inv
igw-051f927a941b88951,(not tagged),EC2,InternetGateway,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:internet-gateway/igw-051f927a941b88951
dopt-007423564c70f5fdc,(not tagged),EC2,DHCPOptions,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:dhcp-options/dopt-007423564c70f5fdc
acl-083ebeb6af616f9a8,(not tagged),EC2,NetworkAcl,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:network-acl/acl-083ebeb6af616f9a8
Items,(not tagged),DynamoDB,Table,us-east-1,0,arn:aws:dynamodb:us-east-1:679835924621:table/Items
igw-0ab303a27be5b6571,(not tagged),EC2,InternetGateway,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:internet-gateway/igw-0ab303a27be5b6571
rtb-03054851a811b5e7d,(not tagged),EC2,RouteTable,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:route-table/rtb-03054851a811b5e7d
dopt-041fc8fdc33e80870,(not tagged),EC2,DHCPOptions,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:dhcp-options/dopt-041fc8fdc33e80870
acl-05b7a1d04975c6746,(not tagged),EC2,NetworkAcl,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:network-acl/acl-05b7a1d04975c6746
dopt-04759591c1ac3decc,(not tagged),EC2,DHCPOptions,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:dhcp-options/dopt-04759591c1ac3decc
sg-05d3c70b523ae14e6,(not tagged),EC2,SecurityGroup,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:security-group/sg-05d3c70b523ae14e6
dopt-093bda09d476fd322,(not tagged),EC2,DHCPOptions,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:dhcp-options/dopt-093bda09d476fd322
rtb-0b2a300e08f867a7c,(not tagged),EC2,RouteTable,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:route-table/rtb-0b2a300e08f867a7c
subnet-0e183f4ba290c1f80,(not tagged),EC2,Subnet,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:subnet/subnet-0e183f4ba290c1f80
subnet-0fa458e669e9284dc,(not tagged),EC2,Subnet,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:subnet/subnet-0fa458e669e9284dc
subnet-0ce3e6abfece9d1b7,(not tagged),EC2,Subnet,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:subnet/subnet-0ce3e6abfece9d1b7
igw-066222191409d3618,(not tagged),EC2,InternetGateway,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:internet-gateway/igw-066222191409d3618
sg-0b2dbda3d432daba6,(not tagged),EC2,SecurityGroup,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:security-group/sg-0b2dbda3d432daba6
sg-0725c2da46fb3ece4,(not tagged),EC2,SecurityGroup,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:security-group/sg-0725c2da46fb3ece4
sg-037ba75296ab3613e,(not tagged),EC2,SecurityGroup,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:security-group/sg-037ba75296ab3613e
vpc-06347be3dc674635d,(not tagged),EC2,VPC,ca-central-1,0,arn:aws:ec2:ca-central-1:679835924621:vpc/vpc-06347be3dc674635d
dopt-065b7a6c595c2ba70,(not tagged),EC2,DHCPOptions,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:dhcp-options/dopt-065b7a6c595c2ba70
dopt-0018cde4c8fad3dfd,(not tagged),EC2,DHCPOptions,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:dhcp-options/dopt-0018cde4c8fad3dfd
acl-04cf6a52764419c20,(not tagged),EC2,NetworkAcl,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:network-acl/acl-04cf6a52764419c20
igw-07cd0adbabd65771c,(not tagged),EC2,InternetGateway,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:internet-gateway/igw-07cd0adbabd65771c
subnet-01c59ca0dc6284933,(not tagged),EC2,Subnet,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:subnet/subnet-01c59ca0dc6284933
subnet-0d946a0eaf8ecbc4e,(not tagged),EC2,Subnet,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:subnet/subnet-0d946a0eaf8ecbc4e
subnet-0a93d2a74fc9e934c,(not tagged),EC2,Subnet,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:subnet/subnet-0a93d2a74fc9e934c
igw-0e9a50c02bfcb8bf6,(not tagged),EC2,InternetGateway,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:internet-gateway/igw-0e9a50c02bfcb8bf6
vpc-07ee4270fc44d437b,(not tagged),EC2,VPC,us-east-2,0,arn:aws:ec2:us-east-2:679835924621:vpc/vpc-07ee4270fc44d437b
dopt-0b15a6995f3d35617,(not tagged),EC2,DHCPOptions,eu-west-1,0,arn:aws:ec2:eu-west-1:679835924621:dhcp-options/dopt-0b15a6995f3d35617
acl-021760c2f203414f2,(not tagged),EC2,NetworkAcl,eu-west-3,0,arn:aws:ec2:eu-west-3:679835924621:network-acl/acl-021760c2f203414f2
igw-0c7698fb6fb8c2dd5,(not tagged),EC2,InternetGateway,us-west-2,0,arn:aws:ec2:us-west-2:679835924621:internet-gateway/igw-0c7698fb6fb8c2dd5
rtb-008354e3156186b65,(not tagged),EC2,RouteTable,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:route-table/rtb-008354e3156186b65
acl-0a94db994fd1b2ef6,(not tagged),EC2,NetworkAcl,us-west-1,0,arn:aws:ec2:us-west-1:679835924621:network-acl/acl-0a94db994fd1b2ef6
sg-020626857886a9d8e,(not tagged),EC2,SecurityGroup,us-east-1,0,arn:aws:ec2:us-east-1:679835924621:security-group/sg-020626857886a9d8e
igw-07e978d3cc0349441,(not tagged),EC2,InternetGateway,ap-northeast-3,0,arn:aws:ec2:ap-northeast-3:679835924621:internet-gateway/igw-07e978d3cc0349441
dopt-09e468f0f25fc7679,(not tagged),EC2,DHCPOptions,eu-central-1,0,arn:aws:ec2:eu-central-1:679835924621:dhcp-options/dopt-09e468f0f25fc7679
